0503;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES         ;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           ;
0504;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - PARTID;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - PARTIDO OBRERO + IZQUIERDA POR UNA OPCION SOCIALISTA    ;
0505;FRENTE DE LA VICTORIA                             ;FRENTE DE LA VICTORIA                                                                               ;
0510;1 PROYECTO SANTAFESINO                            ;1 PROYECTO SANTAFESINO                                                                              ;
0511;1PAIS                                             ;1PAIS                                                                                               ;
0512;1 PAIS SOMOS SAN JUAN                             ;1 PAIS SOMOS SAN JUAN                                                                               ;
0513;1PAIS FRENTE RENOVADOR NEUQUEN +A                 ;1PAIS FRENTE RENOVADOR NEUQUEN +A                                                                   ;
0514;ALTERNATIVA POPULAR RIOJANA                       ;ALTERNATIVA POPULAR RIOJANA                                                                         ;
0515;AVANCEMOS HACIA 1PAIS MEJOR                       ;AVANCEMOS HACIA 1PAIS MEJOR                                                                         ;
0516;AVANZAR Y CAMBIEMOS POR SAN LUIS                  ;AVANZAR Y CAMBIEMOS POR SAN LUIS                                                                    ;
0517;CAMBIEMOS - FUERZA CIVICA RIOJANA                 ;CAMBIEMOS - FUERZA CIVICA RIOJANA                                                                   ;
0518;CAMBIEMOS BUENOS AIRES                            ;CAMBIEMOS BUENOS AIRES                                                                              ;
0519;CAMBIEMOS CHUBUT                                  ;CAMBIEMOS CHUBUT                                                                                    ;
0520;CAMBIEMOS PAIS                                    ;CAMBIEMOS PAIS                                                                                      ;
0521;CAMBIEMOS PARA EL BICENTENARIO                    ;CAMBIEMOS PARA EL BICENTENARIO                                                                      ;
0522;CAMBIEMOS SAN JUAN                                ;CAMBIEMOS SAN JUAN                                                                                  ;
0523;CAMBIEMOS RIO NEGRO                               ;CAMBIEMOS RIO NEGRO                                                                                 ;
0524;CAMBIEMOS TIERRA DEL FUEGO                        ;CAMBIEMOS TIERRA DEL FUEGO                                                                          ;
0527;ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO      ;ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO                                                        ;
0528;ENCUENTRO POR CORRIENTES - ECO + CAMBIEMOS        ;ENCUENTRO POR CORRIENTES - ECO + CAMBIEMOS                                                          ;
0530;ESPACIO GRANDE                                    ;ESPACIO GRANDE                                                                                      ;
0531;EVOLUCION                                         ;EVOLUCION                                                                                           ;
0532;FRENTE AMPLIO FORMOSEÑO CAMBIEMOS                 ;FRENTE AMPLIO FORMOSEÑO CAMBIEMOS                                                                   ;
0534;FRENTE AVANCEMOS                                  ;FRENTE AVANCEMOS                                                                                    ;
0535;FRENTE CAMBIEMOS                                  ;FRENTE CAMBIEMOS                                                                                    ;
0536;FRENTE CAMBIEMOS LA PAMPA                         ;FRENTE CAMBIEMOS LA PAMPA                                                                           ;
