id seccion,nombre seccion,id circuito,nombre circuito,escuela original,mesas,desde,hasta,electores,escuela,direccion,ciudad,provincia,pais,para geo,,,,,
13,RIO CUARTO,165,BANDA NORTE,MERC DEL NIÑO JESUS/S FCO ASIS - VICTOR HUGO 885,18,5781,5798,6228,MERC DEL NIÑO JESUS/S FCO ASIS,VICTOR HUGO 885,BANDA NORTE,Córdoba,Argentina,"VICTOR HUGO 885, BANDA NORTE, Córdoba, Argentina",,,,No Match,Google
13,RIO CUARTO,186,PUEBLO ALBERDI,INST LANTERIANO LA MERCED - BELISARIO ROLDAN 275,18,6049,6066,6204,INST LANTERIANO LA MERCED,BELISARIO ROLDAN 275,PUEBLO ALBERDI,Córdoba,Argentina,"BELISARIO ROLDAN 275, PUEBLO ALBERDI, Córdoba, Argentina",,,,No Match,Google
1,CAPITAL,4,NUEVA CORDOBA,FAC DE CIENCIAS ECONOMICAS - AV VALPARAISO CDAD UNIVERSITARIA,18,169,186,6194,FAC DE CIENCIAS ECONOMICAS,AV VALPARAISO CDAD UNIVERSITARIA,Córdoba,Córdoba,Argentina,"AV VALPARAISO CDAD UNIVERSITARIA, Córdoba, Córdoba, Argentina","-31,4374039","-64,1864303","Av. Cd. de Valparaiso 1627, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,11D,LOS NARANJOS,INST JESUS MARIA - VIEYTES 1607,18,1817,1834,6162,INST JESUS MARIA,VIEYTES 1607,Córdoba,Córdoba,Argentina,"VIEYTES 1607, Córdoba, Córdoba, Argentina","-31,4292147","-64,2191162","Hipólito Vieytes 1607, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,1,SECCIONAL PRIMERA,COL NAC DE MONSERRAT - OBISPO TREJO 294,18,20,37,6158,COL NAC DE MONSERRAT,OBISPO TREJO 294,Córdoba,Córdoba,Argentina,"OBISPO TREJO 294, Córdoba, Córdoba, Argentina","-31,4189852","-64,1867592","Obispo Trejo 294, X5000IYF Córdoba, Argentina",Match,Google
3,COLON,28,CALERA,INSTITUTO D.F.SARMIENTO - CALERA,18,3444,3461,6156,INSTITUTO D.F.SARMIENTO,CALERA,CALERA,Córdoba,Argentina,"CALERA, CALERA, Córdoba, Argentina","-31,3525586","-64,3401296","La Calera, Córdoba, Argentina",Match,Google
1,CAPITAL,2,SECCIONAL SEGUNDA,ESC JUAN BAUTISTA ALBERDI - GRAL PAZ 486,18,48,65,6145,ESC JUAN BAUTISTA ALBERDI,GRAL PAZ 486,Córdoba,Córdoba,Argentina,"GRAL PAZ 486, Córdoba, Córdoba, Argentina","-31,4097177","-64,1844183","Av. Gral. Paz 486, X5022 Córdoba, Argentina",Partial Match,Google
12,PUNILLA,156,VILLA CARLOS PAZ,ESC CARLOS NICANDRO PAZ - SAN MARTIN 255,17,5438,5454,5899,ESC CARLOS NICANDRO PAZ,SAN MARTIN 255,VILLA CARLOS PAZ,Córdoba,Argentina,"SAN MARTIN 255, VILLA CARLOS PAZ, Córdoba, Argentina","-31,4194654","-64,4965914","Av. San Martín 255, X5152 Villa Carlos Paz, Córdoba, Argentina",Partial Match,Google
13,RIO CUARTO,188,RIO CUARTO,COL NTRA SRA DEL CARMEN - BAIGORRIA 373,17,6147,6163,5899,COL NTRA SRA DEL CARMEN,BAIGORRIA 373,RIO CUARTO,Córdoba,Argentina,"BAIGORRIA 373, RIO CUARTO, Córdoba, Argentina","-33,1224799","-64,3439953","Baigorria 373, X5800CQG Río Cuarto, Córdoba, Argentina",Match,Google
20,SAN JUSTO,310A,SAN FRANCISCO SECC. NORTE,ESC JOSE BERRNARDO ITURRASPE - CABRERA 1736,17,7586,7602,5899,ESC JOSE BERRNARDO ITURRASPE,CABRERA 1736,SAN FRANCISCO SECC. NORTE,Córdoba,Argentina,"CABRERA 1736, SAN FRANCISCO SECC. NORTE, Córdoba, Argentina",,,,No Match,Google
1,CAPITAL,11J,SANTA ANA,ESC ROMA - ECHEVERRIA 370,17,2034,2050,5882,ESC ROMA,ECHEVERRIA 370,Córdoba,Córdoba,Argentina,"ECHEVERRIA 370, Córdoba, Córdoba, Argentina","-31,4189616","-64,1934907","Echeverría 370, X5002JDJ Córdoba, Argentina",Partial Match,Google
12,PUNILLA,156,VILLA CARLOS PAZ,INST BILINGUE DANTE ALIGHIERI - ALFONSINA STORNI Y LOS ALERCES,17,5557,5573,5882,INST BILINGUE DANTE ALIGHIERI,ALFONSINA STORNI Y LOS ALERCES,VILLA CARLOS PAZ,Córdoba,Argentina,"ALFONSINA STORNI Y LOS ALERCES, VILLA CARLOS PAZ, Córdoba, Argentina","-31,4244087","-64,5199525","Alfonsina Storni & Los Alerces, Villa Carlos Paz, Córdoba, Argentina",Match,Google
23,TERCERO ARRIBA,348,RIO TERCERO,INST ALEXIS CARREL - GRAL PAZ Y ESPAÑA 390,17,8156,8172,5882,INST ALEXIS CARREL,GRAL PAZ Y ESPAÑA 390,RIO TERCERO,Córdoba,Argentina,"GRAL PAZ Y ESPAÑA 390, RIO TERCERO, Córdoba, Argentina","-32,1770558","-64,1115872","Gral. Paz & España, Río Tercero, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,12B,COLON,INST NTRA SRA DEL SGDO CORAZON - REVOLUCION DE MAYO 1476,17,2197,2213,5822,INST NTRA SRA DEL SGDO CORAZON,REVOLUCION DE MAYO 1476,Córdoba,Córdoba,Argentina,"REVOLUCION DE MAYO 1476, Córdoba, Córdoba, Argentina","-31,4359399","-64,1670132","Revolucion de Mayo 1476, Córdoba, Argentina",Match,Google
1,CAPITAL,5,ALTAMIRA,ESC ESPAÑA - M BRAVO Y ENTRE RIOS,17,322,338,5780,ESC ESPAÑA,M BRAVO Y ENTRE RIOS,Córdoba,Córdoba,Argentina,"M BRAVO Y ENTRE RIOS, Córdoba, Córdoba, Argentina","-31,4256417","-64,1219915","Entre Ríos & Mario Bravo, X5006 Córdoba, Argentina",Partial Match,Google
20,SAN JUSTO,304,MORTEROS,ESCUELA CRISTO REY - BV 9 DE JULIO 1008,17,7448,7464,5780,ESCUELA CRISTO REY,BV 9 DE JULIO 1008,MORTEROS,Córdoba,Argentina,"BV 9 DE JULIO 1008, MORTEROS, Córdoba, Argentina","-30,7127777","-62,0069273","Bv. 9 de Julio 1008, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,9F,SAN MARTIN,INST INMACULADA CONCEPCION - CASTRO BARROS 1316,17,1148,1164,5777,INST INMACULADA CONCEPCION,CASTRO BARROS 1316,Córdoba,Córdoba,Argentina,"CASTRO BARROS 1316, Córdoba, Córdoba, Argentina","-31,3934963","-64,2022781","Av. Castro Barros 1316, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,10B,CIUDADELA,ESC PCIA DE CATAMARCA - AV VELEZ SARSFIELD 3200,17,1265,1281,5761,ESC PCIA DE CATAMARCA,AV VELEZ SARSFIELD 3200,Córdoba,Córdoba,Argentina,"AV VELEZ SARSFIELD 3200, Córdoba, Córdoba, Argentina","-31,447304","-64,1990799","Av. Vélez Sarsfield 3200, X5016GDQ Córdoba, Argentina",Match,Google
12,PUNILLA,156,VILLA CARLOS PAZ,INST R ESCALADA DE SAN MARTIN - ESTRADA Y ANTARTIDA,16,5513,5528,5536,INST R ESCALADA DE SAN MARTIN,ESTRADA Y ANTARTIDA,VILLA CARLOS PAZ,Córdoba,Argentina,"ESTRADA Y ANTARTIDA, VILLA CARLOS PAZ, Córdoba, Argentina","-31,4283717","-64,4918724","La Antártida & Av. Estrada, X5152 Villa Carlos Paz, Córdoba, Argentina",Partial Match,Google
20,SAN JUSTO,310,SAN FRANCISCO SECC. SUR,ESCUELA N AVELLANEDA - RIVADAVIA 648,16,7561,7576,5536,ESCUELA N AVELLANEDA,RIVADAVIA 648,SAN FRANCISCO SECC. SUR,Córdoba,Argentina,"RIVADAVIA 648, SAN FRANCISCO SECC. SUR, Córdoba, Argentina",,,,No Match,Google
1,CAPITAL,11J,SANTA ANA,ESC LUTERANO CONCORDIA - SANTA ANA 2011,16,2051,2066,5535,ESC LUTERANO CONCORDIA,SANTA ANA 2011,Córdoba,Córdoba,Argentina,"SANTA ANA 2011, Córdoba, Córdoba, Argentina","-31,4163111","-64,2120858","Av. Sta Ana 2011, Córdoba, Argentina",Partial Match,Google
3,COLON,35,MALVINAS ARGENTINAS,I.P.E.M. N° 24 - JUJUY ESQ. SARMIENTO S/N MALVINAS AR,16,3754,3769,5526,I.P.E.M. N° 24,JUJUY ESQ. SARMIENTO S/N MALVINAS AR,MALVINAS ARGENTINAS,Córdoba,Argentina,"JUJUY ESQ. SARMIENTO S/N MALVINAS AR, MALVINAS ARGENTINAS, Córdoba, Argentina",,,,No Match,Google
4,CRUZ DEL EJE,44,CRUZ DEL EJE,IPEM N° 253 - ALEM ESQ DOMINGO MATEU,16,4078,4093,5504,IPEM N° 253,ALEM ESQ DOMINGO MATEU,CRUZ DEL EJE,Córdoba,Argentina,"ALEM ESQ DOMINGO MATEU, CRUZ DEL EJE, Córdoba, Argentina",,,,No Match,Google
26,UNION,375,BELL VILLE,ESC PONCIANO VIVANCO - AMEGHINO 155,16,8445,8460,5504,ESC PONCIANO VIVANCO,AMEGHINO 155,BELL VILLE,Córdoba,Argentina,"AMEGHINO 155, BELL VILLE, Córdoba, Argentina","-32,6276066","-62,6884833","Florentino Ameghino 155, X2550FLC Bell Ville, Córdoba, Argentina",Match,Google
4,CRUZ DEL EJE,44,CRUZ DEL EJE,ESCUELA NORMAL - SARMIENTO 1155,16,4126,4141,5488,ESCUELA NORMAL,SARMIENTO 1155,CRUZ DEL EJE,Córdoba,Argentina,"SARMIENTO 1155, CRUZ DEL EJE, Córdoba, Argentina","-30,734846","-64,7930643","Sarmiento 1155, X5280AGU Cruz del Eje, Córdoba, Argentina",Match,Google
9,MARCOS JUAREZ,133,MARCOS JUAREZ,ESC NORMAL SUP DR M BELGRANO - R SAENZ PEÑA Y S DEL ESTERO,16,5086,5101,5488,ESC NORMAL SUP DR M BELGRANO,R SAENZ PEÑA Y S DEL ESTERO,MARCOS JUAREZ,Córdoba,Argentina,"R SAENZ PEÑA Y S DEL ESTERO, MARCOS JUAREZ, Córdoba, Argentina","-32,6920628","-62,1087072","Roque Sáenz Peña & Santiago del Estero, Marcos Juárez, Córdoba, Argentina",Partial Match,Google
19,SAN JAVIER,268,DOLORES,ESC.NORMAL SARSFIELD - AV.S.MARTIN 271,16,7018,7033,5488,ESC.NORMAL SARSFIELD,AV.S.MARTIN 271,DOLORES,Córdoba,Argentina,"AV.S.MARTIN 271, DOLORES, Córdoba, Argentina","-31,9487169","-65,1879357","Av. San Martín 271, Villa Dolores, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,11C,LAS PALMAS,ESC GRAL SAN MARTIN - AV COLON 4751,16,1775,1790,5435,ESC GRAL SAN MARTIN,AV COLON 4751,Córdoba,Córdoba,Argentina,"AV COLON 4751, Córdoba, Córdoba, Argentina","-31,3960815","-64,2425844","Av. Colón 4751, Córdoba, Argentina",Match,Google
1,CAPITAL,10C,COMERCIAL,ESC ALEJANDRO CARBO - ICHO CRUZ S/N°,16,1301,1316,5376,ESC ALEJANDRO CARBO,ICHO CRUZ S/N°,Córdoba,Córdoba,Argentina,"ICHO CRUZ S/N°, Córdoba, Córdoba, Argentina","-31,4811478","-64,2090028","Icho Cruz, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,7E,MARQUES DE SOBREMONTE,ESC HONORATO LACONI - T DE IROBI,15,787,801,5205,ESC HONORATO LACONI,T DE IROBI,Córdoba,Córdoba,Argentina,"T DE IROBI, Córdoba, Córdoba, Argentina","-31,3638807","-64,1949891","Tomás de Irobi, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,12G,ITUZAINGO,ESC EJERCITO ARGENTINO - STEPHENSON Y FULTON,15,2424,2438,5205,ESC EJERCITO ARGENTINO,STEPHENSON Y FULTON,Córdoba,Córdoba,Argentina,"STEPHENSON Y FULTON, Córdoba, Córdoba, Argentina","-31,4662451","-64,0888421","Fulton & Stephenson, Córdoba, Argentina",Match,Google
1,CAPITAL,13J,VILLA AZALAIS,ESC VICENTE F LOPEZ - TISSERA 1551,15,2825,2839,5205,ESC VICENTE F LOPEZ,TISSERA 1551,Córdoba,Córdoba,Argentina,"TISSERA 1551, Córdoba, Córdoba, Argentina","-31,3888929","-64,1600171","Juan Capistrano Tissera 1551, X5012AJC Córdoba, Argentina",Partial Match,Google
3,COLON,28A,CALERA CENTRAL,ESC.TTE. J.R. IBARZABAL - CALERA CENTRAL,15,3486,3500,5205,ESC.TTE. J.R. IBARZABAL,CALERA CENTRAL,CALERA CENTRAL,Córdoba,Argentina,"CALERA CENTRAL, CALERA CENTRAL, Córdoba, Argentina","-31,3582176","-64,33246","Av. Ejercito Argentino 282, Córdoba, Argentina",Match,Google
6,GRAL SAN MARTIN,89,VILLA MARIA,IPEM N°275 EX COLEGIO NACIONAL - S.DEL ESTERO 618,15,4525,4539,5200,IPEM N°275 EX COLEGIO NACIONAL,S.DEL ESTERO 618,VILLA MARIA,Córdoba,Argentina,"S.DEL ESTERO 618, VILLA MARIA, Córdoba, Argentina","-32,4198802","-63,2432173","Santiago del Estero 618, Villa María, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,7E,MARQUES DE SOBREMONTE,ESC PETER PAN - P DE GUZMAN 131,15,802,816,5198,ESC PETER PAN,P DE GUZMAN 131,Córdoba,Córdoba,Argentina,"P DE GUZMAN 131, Córdoba, Córdoba, Argentina","-31,416648","-64,1763173","Blvd. Guzmán 131, X5000FJB Córdoba, Argentina",Partial Match,Google
1,CAPITAL,11A,ALTO ALBERDI,ESC JOSE MARIA PAZ - AV COLON 2772,15,1736,1750,5190,ESC JOSE MARIA PAZ,AV COLON 2772,Córdoba,Córdoba,Argentina,"AV COLON 2772, Córdoba, Córdoba, Argentina","-31,4030262","-64,2179278","Av. Colón 2772, X5003DCY Córdoba, Argentina",Match,Google
3,COLON,33,JESUS MARIA,PTE DOMINGO F SARMIENTO - CORDOBA 1050,15,3612,3626,5190,PTE DOMINGO F SARMIENTO,CORDOBA 1050,JESUS MARIA,Córdoba,Argentina,"CORDOBA 1050, JESUS MARIA, Córdoba, Argentina","-31,4171414","-64,1460863","Jesús María 1050, Córdoba, Argentina",Partial Match,Google
3,COLON,40,UNQUILLO,I.P.E.M. N° 78 - COSTANERA 750,15,3889,3903,5190,I.P.E.M. N° 78,COSTANERA 750,UNQUILLO,Córdoba,Argentina,"COSTANERA 750, UNQUILLO, Córdoba, Argentina","-31,2415564","-64,3066976","Av. Costanera 750, Unquillo, Córdoba, Argentina",Partial Match,Google
12,PUNILLA,156,VILLA CARLOS PAZ,INST BERNARDO D'ELIA - ASUNCION,15,5498,5512,5190,INST BERNARDO D'ELIA,ASUNCION,VILLA CARLOS PAZ,Córdoba,Argentina,"ASUNCION, VILLA CARLOS PAZ, Córdoba, Argentina","-31,4195857","-64,5092561","Asunción, Villa Carlos Paz, Córdoba, Argentina",Match,Google
23,TERCERO ARRIBA,348,RIO TERCERO,E.N.E.T. N°1 - G.SAVIO Y MENDOZA,15,8141,8155,5190,E.N.E.T. N°1,G.SAVIO Y MENDOZA,RIO TERCERO,Córdoba,Argentina,"G.SAVIO Y MENDOZA, RIO TERCERO, Córdoba, Argentina","-32,1701031","-64,1316762","Av. Gral. Savio & Mendoza, Río Tercero, Córdoba, Argentina",Partial Match,Google
20,SAN JUSTO,279,ARROYITO,INST DR D VELEZ SARSFIELD - ARROYITO,15,7179,7193,5178,INST DR D VELEZ SARSFIELD,ARROYITO,ARROYITO,Córdoba,Argentina,"ARROYITO, ARROYITO, Córdoba, Argentina","-31,4192155","-63,0508598","Arroyito, Cordoba, Argentina",Match,Google
1,CAPITAL,3,SECCIONAL TERCERA,ESC JERONIMO LUIS DE CABRERA - SANTA ROSA 650,15,66,80,5175,ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,Córdoba,Córdoba,Argentina,"SANTA ROSA 650, Córdoba, Córdoba, Argentina","-31,4096902","-64,1913409","Sta Rosa 650, X5000ESN Córdoba, Argentina",Match,Google
3,COLON,33,JESUS MARIA,ESC.PROVC.F.O. DE OCAMPO - AV. DR. FRANCISCO N. DE LAPRIDA 649,15,3665,3679,5175,ESC.PROVC.F.O. DE OCAMPO,AV. DR. FRANCISCO N. DE LAPRIDA 649,JESUS MARIA,Córdoba,Argentina,"AV. DR. FRANCISCO N. DE LAPRIDA 649, JESUS MARIA, Córdoba, Argentina",,,,No Match,Google
13,RIO CUARTO,186,PUEBLO ALBERDI,ESC GRAL JUSTO S ANAYA - AZOPARDO 1270,15,6034,6048,5175,ESC GRAL JUSTO S ANAYA,AZOPARDO 1270,PUEBLO ALBERDI,Córdoba,Argentina,"AZOPARDO 1270, PUEBLO ALBERDI, Córdoba, Argentina",,,,No Match,Google
1,CAPITAL,13H,PATRICIOS,COL HIJAS DE MARIA INMACULADA - MADRE BRIGIDA PASTORINO 2733,15,2710,2724,5160,COL HIJAS DE MARIA INMACULADA,MADRE BRIGIDA PASTORINO 2733,Córdoba,Córdoba,Argentina,"MADRE BRIGIDA PASTORINO 2733, Córdoba, Córdoba, Argentina",,,,No Match,Google
26,UNION,375,BELL VILLE,COLEGIO SAN JOSE - BV FIGUEROA ALCORTA 40,15,8461,8475,5160,COLEGIO SAN JOSE,BV FIGUEROA ALCORTA 40,BELL VILLE,Córdoba,Argentina,"BV FIGUEROA ALCORTA 40, BELL VILLE, Córdoba, Argentina","-32,6299216","-62,6852013","Bv. Figueroa Alcorta 40, X2550DUN Bell Ville, Córdoba, Argentina",Match,Google
1,CAPITAL,14,ARGUELLO,COLEGIO LA SALLE - AV MARTINOLI 3950,15,2897,2911,5139,COLEGIO LA SALLE,AV MARTINOLI 3950,Córdoba,Córdoba,Argentina,"AV MARTINOLI 3950, Córdoba, Córdoba, Argentina","-31,3573296","-64,2422476","Av. Recta Martinolli 3950, Córdoba, Argentina",Partial Match,Google
20,SAN JUSTO,304,MORTEROS,COLEGIO NACIONAL MIXTO - MORTEROS,15,7422,7436,5113,COLEGIO NACIONAL MIXTO,MORTEROS,MORTEROS,Córdoba,Argentina,"MORTEROS, MORTEROS, Córdoba, Argentina","-30,7099133","-62,0042915","Morteros, Cordoba, Argentina",Match,Google
1,CAPITAL,9E,PROVIDENCIA,ESC PTE HIPOLITO YRIGOYEN - CASTRO BARROS 802,15,1120,1134,5033,ESC PTE HIPOLITO YRIGOYEN,CASTRO BARROS 802,Córdoba,Córdoba,Argentina,"CASTRO BARROS 802, Córdoba, Córdoba, Argentina","-31,3978561","-64,1986419","Av. Castro Barros 802, X5000HTV Córdoba, Argentina",Partial Match,Google
1,CAPITAL,14O,VILLA 9 DE JULIO,INSTITUTO LEON XIII - AV BODEREAU 7850,15,3217,3231,5025,INSTITUTO LEON XIII,AV BODEREAU 7850,Córdoba,Córdoba,Argentina,"AV BODEREAU 7850, Córdoba, Córdoba, Argentina","-31,3310046","-64,2881635","E. Bodereau 7850, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,14C,ARGUELLO SEGUNDO,INST CONCEPCIONISTA LA INMACUL - AV ENRIQUE BODEREAU KM 14,15,2992,3006,5006,INST CONCEPCIONISTA LA INMACUL,AV ENRIQUE BODEREAU KM 14,Córdoba,Córdoba,Argentina,"AV ENRIQUE BODEREAU KM 14, Córdoba, Córdoba, Argentina",,,,No Match,Google
1,CAPITAL,13J,VILLA AZALAIS,ESC JUSTO PAEZ MOLINA - J MONTAÑO 1350,14,2811,2824,4858,ESC JUSTO PAEZ MOLINA,J MONTAÑO 1350,Córdoba,Córdoba,Argentina,"J MONTAÑO 1350, Córdoba, Córdoba, Argentina","-31,3734353","-64,241302","Luis Montaño, Córdoba, Argentina",Partial Match,Google
6,GRAL SAN MARTIN,89,VILLA MARIA,ESC.N.AVELLANEDA - BS.AS.E INT.MACIEL,14,4482,4495,4858,ESC.N.AVELLANEDA,BS.AS.E INT.MACIEL,VILLA MARIA,Córdoba,Argentina,"BS.AS.E INT.MACIEL, VILLA MARIA, Córdoba, Argentina",,,,No Match,Google
