X,Y,LATITUD,LONGITUD,XGK,YGK,NOMLOC_10,NOMMUNI_10,CODMUNI_10,PROV,DEPTO,NOM_DEPTO,CODLOC
4494739.816875950433314,6416722.111907660029829,32 23 27,63 03 27,6416773.0000000000,4494591.0000000000,ANA ZUMARAN,ANA ZUMARAN,3232,14,182,UNION,030
4525416.552979749627411,6375085.130137249827385,32 45 49,62 43 40,6375386.0000000000,4525506.0000000000,VILLA LOS PATOS,VILLA LOS PATOS,3246,14,182,UNION,280
4495578.410232169553638,6289431.31137309037149,33 32 18,63 02 53,6289511.0000000000,4495548.0000000000,SAN SEVERO,,,14,182,UNION,260
4490430.609853910282254,6405499.79383547976613,32 29 28,63 06 10,6405649.0000000000,4490338.0000000000,RAMON J CARCANO,,,14,182,UNION,230
4538450.0,6392139.5,32 36 41,62 35 25,6392252.0000000000,4538451.0000000000,MONTE LE�A,MONTE LE�A,1673,14,182,UNION,160
4545794,6423016,32 19 57,62 30 49,6423128.0000000000,4545795.0000000000,CHILIBROSTE,CHILIBROSTE,1631,14,182,UNION,090
4524963.727505560033023,6297673.112947939895093,33 27 49,62 43 57,6297780.0000000000,4524878.0000000000,COLONIA BREMEN,COLONIA BREMEN,3239,14,182,UNION,120
4526541.124644690193236,6315832.851904,33 18 01,62 42 48,6315875.0000000000,4526702.0000000000,COLONIA BISMARCK,COLONIA BISMARCK,1645,14,182,UNION,110
4497461.5,6394730.0,32 35 19,63 01 37,6394842.0000000000,4497461.0000000000,BALLESTEROS SUD,BALLESTEROS SUD,1603,14,182,UNION,050
4507942.21950452029705,6271745.423586109653115,33 41 42,62 54 41,6272145.0000000000,4508207.0000000000,ALDEA SANTA MARIA,ALDEA SANTA MARIA,3225,14,182,UNION,010
4510855.470546600408852,6421736.066538110375404,32 20 46,62 53 07,6421729.0000000000,4510793.0000000000,ALTO ALEGRE,ALTO ALEGRE,1589,14,182,UNION,020
4525086.55038014985621,6283646.162728250026703,33 35 24,62 43 49,6283735.0000000000,4525027.0000000000,BENJAMIN GOULD,BENJAMIN GOULD,1617,14,182,UNION,070
4534597.5,6436339.5,32 12 46,62 37 59,6436450.0000000000,4534598.0000000000,SAN ANTONIO DE LITIN,SAN ANTONIO DE LITIN,1722,14,182,UNION,240
4532667.5,6425778.5,32 18 29,62 39 11,6425890.0000000000,4532668.0000000000,CINTRA,CINTRA,1638,14,182,UNION,100
4514749.208561629988253,6251495.149923889897764,33 52 51,62 50 27,6251524.0000000000,4514735.0000000000,PUEBLO ITALIANO,PUEBLO ITALIANO,1715,14,182,UNION,220
4496918,6369827,32 48 47,63 01 58,6369940.0000000000,4496918.0000000000,IDIAZABAL,IDIAZABAL,1652,14,182,UNION,130
4490835.5,6266239.0,33 44 49,63 05 56,6266355.0000000000,4490836.0000000000,VIAMONTE,VIAMONTE,1736,14,182,UNION,270
4521452.0,6330001.5,33 10 19,62 46 12,6330116.0000000000,4521453.0000000000,WENCESLAO ESCALANTE,WENCESLAO ESCALANTE,1743,14,182,UNION,290
4496169.434812280349433,6335262.45727785024792,33 07 30,63 02 34,6335355.0000000000,4496016.0000000000,PASCANAS,PASCANAS,1708,14,182,UNION,210
4512558.020661240443587,6366828.409816400147974,32 50 29,62 51 58,6366813.0000000000,4512540.0000000000,ORDO�EZ,ORDO�EZ,1701,14,182,UNION,200
4548611.5,6389984.0,32 37 49,62 28 55,6390096.0000000000,4548613.0000000000,SAN MARCOS,SAN MARCOS SUD,1729,14,182,UNION,250
4515395.0,6394158.5,32 35 37,62 50 01,6394271.0000000000,4515395.0000000000,MORRISON,MORRISON,1687,14,182,UNION,180
4501568.5,6399523.0,32 32 43,62 58 60,6399635.0000000000,4501569.0000000000,BALLESTEROS,BALLESTEROS,1596,14,182,UNION,040
4564907.983587860129774,6419182.042461100034416,32 22 00,62 18 43,6419237.0000000000,4564745.0000000000,NOETINGER,NOETINGER,1694,14,182,UNION,190
4513435.393752760253847,6332188.696328089572489,33 09 11,62 51 22,6332241.0000000000,4513427.0000000000,LABORDE,LABORDE,1666,14,182,UNION,150
4537207.770231929607689,6326290.56936748046428,33 12 16,62 36 05,6326460.0000000000,4537178.0000000000,MONTE MAIZ,MONTE MAIZ,1680,14,182,UNION,170
