6;10;007;00201;00179;08905;00064494;00042901;07480;00057354;08893;00037654;08777;00004635;01080;00000586;00137;00000026;00006;10;23;02;05;
6;10;008;00012;00000;00000;00002697;00000000;00000;00000000;00000;00000000;00000;00000000;00000;00000000;00000;00000000;00000;10;22;18;00;
6;10;009;00018;00015;08333;00004822;00003224;08193;00003935;08161;00002834;08790;00000349;01083;00000032;00099;00000009;00028;10;23;01;10;
6;10;010;00036;00029;08056;00010268;00007189;07938;00009056;08820;00006129;08526;00000880;01224;00000160;00223;00000020;00028;10;23;01;20;
6;10;011;00051;00049;09608;00013855;00009837;07447;00013210;09534;00007858;07988;00001698;01726;00000254;00258;00000027;00027;10;23;01;15;
6;10;012;00037;00037;10000;00009982;00007697;07711;00009982;10000;00007005;09101;00000488;00634;00000175;00227;00000029;00038;10;23;02;30;
6;10;013;00007;00007;10000;00001555;00001198;07704;00001555;10000;00001118;09332;00000062;00518;00000009;00075;00000009;00075;10;23;00;05;
6;10;014;00015;00014;09333;00002638;00001881;07681;00002449;09284;00001762;09367;00000087;00463;00000019;00101;00000013;00069;10;23;00;50;
6;10;015;00055;00047;08545;00016997;00010401;07205;00014435;08493;00008745;08408;00001425;01370;00000208;00200;00000023;00022;10;23;00;05;
6;10;016;00012;00005;04167;00003050;00001021;07830;00001304;04275;00000963;09432;00000038;00372;00000014;00137;00000006;00059;10;23;02;35;
6;10;999;01707;01575;09227;00537729;00384574;07720;00498123;09263;00339066;08817;00038353;00997;00006458;00168;00000697;00018;10;23;02;35;
